app_id,category,os_type,app_store,developer_type,app_size_mb,install_count,rating,review_count,days_since_release,days_since_last_update,update_frequency,permissions_requested,sensitive_permissions,permission_ratio,network_requests_per_day,external_domains_contacted,encrypted_traffic_ratio,code_obfuscation_detected,anti_debugging_techniques,suspicious_api_calls,background_activity_score,data_collection_intensity,user_interaction_anomalies,developer_history_score,previous_violations,static_analysis_score,dynamic_analysis_score,malware_scan_score,risk_score,risk_category
app_00000,Games,Android,Microsoft Store,Small Company,33.01,259278,4.12,11294,1639,121,8,28,4,0.143,112.56,4,0.4,0,0,7,0.832,0.212,0.182,0.183,0,0.525,0.432,0.291,0.899,High
app_00001,Shopping,iOS,Google Play,Unknown,27.5,654911,4.9,199,3006,686,13,7,4,0.571,14.85,7,0.309,1,0,9,0.305,0.098,0.684,0.44,0,0.495,0.034,0.909,1.0,High
app_00002,Games,Linux,Third Party,Individual,45.72,805989,2.7,43583,1130,476,6,44,4,0.091,12.91,16,0.823,0,0,8,0.281,0.543,0.141,0.802,0,0.987,0.772,0.199,1.0,High
app_00003,Social,Android,App Store,Small Company,50.97,129412,3.42,3571,2279,40,11,27,13,0.481,1570.95,8,0.492,0,0,2,0.761,0.561,0.771,0.494,0,0.428,0.025,0.108,1.0,High
app_00004,Entertainment,Linux,Google Play,Unknown,21.91,631447,3.25,22413,1758,484,9,47,12,0.255,81.61,4,0.96,0,0,1,0.624,0.296,0.105,0.457,0,0.417,0.883,0.324,0.617,High
app_00005,Shopping,Linux,Third Party,Small Company,8.49,387361,1.44,1316,2681,627,10,10,7,0.7,10.81,1,0.384,0,1,5,0.219,0.558,0.404,0.065,0,0.247,0.696,0.712,1.0,High
app_00006,Travel,Linux,Microsoft Store,Individual,12.91,431939,4.63,46727,1154,52,9,15,7,0.467,125.42,17,0.81,0,0,5,0.399,0.816,0.798,0.151,0,0.696,0.858,0.326,0.172,Low
app_00007,Finance,macOS,Microsoft Store,Large Corporation,7.76,751202,1.91,2921,1735,488,14,22,7,0.318,68.27,18,0.947,1,0,9,0.982,0.517,0.261,0.996,1,0.558,0.883,0.189,1.0,High
app_00008,Finance,iOS,Microsoft Store,Individual,52.71,969011,4.59,6305,2102,119,14,29,2,0.069,17.64,18,0.413,0,0,8,0.176,0.018,0.494,0.179,0,0.744,0.721,0.308,0.663,High
app_00009,Games,macOS,Google Play,Large Corporation,428.84,438841,2.06,6903,1694,37,17,25,13,0.52,2273.03,1,0.437,0,0,2,0.769,0.044,0.995,0.47,0,0.883,0.748,0.953,0.417,Medium
app_00010,Education,Linux,Microsoft Store,Individual,36.82,115394,4.85,200,2301,160,10,29,9,0.31,3.04,3,0.699,0,0,5,0.359,0.254,0.295,0.323,0,0.137,0.709,0.553,0.533,Medium
app_00011,Travel,Linux,Google Play,Open Source,3.7,444309,4.47,8726,2876,505,8,20,13,0.65,79.0,2,0.366,0,0,8,0.155,0.982,0.839,0.86,0,0.039,0.303,0.537,0.876,High
app_00012,Games,Linux,Microsoft Store,Unknown,52.79,251551,1.86,49166,1127,195,16,34,14,0.412,53.42,3,0.746,0,1,9,0.323,0.795,0.271,0.439,0,0.025,0.963,0.836,1.0,High
app_00013,Education,Linux,App Store,Individual,105.77,853149,4.66,46185,1142,559,13,9,5,0.556,13.91,14,0.364,0,0,3,0.175,0.017,0.763,0.807,0,0.465,0.65,0.048,0.623,High
app_00014,Social,iOS,Microsoft Store,Individual,20.12,304219,3.63,4621,3088,335,13,36,10,0.278,673.08,12,0.572,0,0,2,0.821,0.626,0.82,0.651,0,0.274,0.215,0.377,0.911,High
app_00015,Shopping,Android,Third Party,Large Corporation,13.07,551738,1.28,25361,2653,601,10,11,3,0.273,18.43,11,0.914,0,0,8,0.548,0.423,0.569,0.576,0,0.128,0.25,0.581,1.0,High
app_00016,Travel,Windows,App Store,Large Corporation,24.06,307055,2.72,5654,2327,216,9,24,8,0.333,1264.06,13,0.927,0,0,8,0.847,0.355,0.957,0.677,0,0.493,0.083,0.092,1.0,High
app_00017,Education,iOS,Microsoft Store,Individual,171.26,349752,4.01,1177,2617,38,6,43,13,0.302,2.27,11,0.794,1,0,9,0.618,0.101,0.084,0.701,0,0.822,0.706,0.081,1.0,High
app_00018,Business,iOS,Enterprise,Small Company,4.72,238167,1.95,40272,217,300,15,35,2,0.057,8.89,12,0.691,0,1,6,0.434,0.254,0.405,0.571,0,0.767,0.823,0.744,0.99,High
app_00019,Finance,macOS,Third Party,Large Corporation,43.02,328284,2.5,28026,3481,116,21,36,12,0.333,232.34,5,0.477,0,0,8,0.217,0.294,0.996,0.697,0,0.737,0.915,0.959,1.0,High
app_00020,Entertainment,iOS,Microsoft Store,Individual,17.4,286203,3.48,29713,1146,347,14,32,11,0.344,44.65,5,0.982,1,0,0,0.28,0.411,0.603,0.271,0,0.076,0.941,0.417,1.0,High
app_00021,Shopping,Android,Microsoft Store,Open Source,23.36,983149,4.73,23803,3323,4,8,29,5,0.172,248.97,1,0.628,0,0,6,0.865,0.813,1.0,0.997,0,0.769,0.945,0.85,0.323,Medium
app_00022,Productivity,Android,App Store,Unknown,14.69,38865,2.01,17110,1470,448,14,32,14,0.438,6.06,8,0.316,0,0,2,0.52,0.852,0.552,0.561,1,0.403,0.134,0.029,1.0,High
app_00023,Education,iOS,Third Party,Open Source,78.94,955045,4.22,15791,764,305,13,31,2,0.065,86.59,6,0.616,1,0,9,0.862,0.95,0.147,0.927,0,0.258,0.459,0.98,1.0,High
app_00024,Travel,iOS,Microsoft Store,Small Company,2.54,429902,3.32,45012,1907,110,7,35,10,0.286,124.18,16,0.749,0,0,2,0.874,0.515,0.973,0.602,0,0.822,0.345,0.348,0.305,Medium
app_00025,Shopping,Linux,Enterprise,Large Corporation,12.32,366924,2.42,27703,2594,77,10,30,8,0.267,7543.99,11,0.945,0,0,0,0.085,0.597,0.986,0.537,1,0.236,0.76,0.531,0.88,High
app_00026,Business,macOS,Enterprise,Open Source,15.6,146206,2.01,5136,1027,622,10,29,6,0.207,191.5,5,0.428,0,0,5,0.327,0.12,0.891,0.594,0,0.789,0.498,0.087,1.0,High
app_00027,Education,iOS,App Store,Unknown,55.4,335723,3.35,23285,2643,553,10,30,1,0.033,145.12,6,0.724,0,0,5,0.365,0.488,0.851,0.088,0,0.056,0.842,0.052,1.0,High
app_00028,Travel,Android,Google Play,Individual,44.59,743346,4.27,46695,2552,573,18,12,9,0.75,198.42,19,0.887,0,1,3,0.425,0.508,0.242,0.115,0,0.289,0.581,0.154,1.0,High
app_00029,Finance,iOS,Third Party,Unknown,4.01,282372,2.48,19,261,649,16,41,8,0.195,428.21,6,0.588,0,1,1,0.124,0.731,0.938,0.181,0,0.741,0.574,0.842,1.0,High
app_00030,Games,macOS,Third Party,Unknown,28.15,907633,4.2,21214,3237,4,9,8,0,0.0,65.12,13,0.712,0,0,7,0.377,0.463,0.301,0.748,0,0.232,0.9,0.384,1.0,High
app_00031,Travel,Linux,Microsoft Store,Unknown,22.1,921622,3.17,41167,1670,578,13,19,14,0.737,526.14,7,0.701,1,0,4,0.779,0.143,0.205,0.714,0,0.755,0.103,0.536,1.0,High
app_00032,Social,Android,Enterprise,Large Corporation,9.21,850967,2.59,36006,3333,156,9,6,2,0.333,1.83,19,0.786,0,0,4,0.827,0.959,0.343,0.227,0,0.288,0.615,0.912,0.587,Medium
app_00033,Education,Android,Microsoft Store,Open Source,7.87,813838,4.73,37229,3056,323,15,46,0,0.0,6399.97,19,0.816,1,1,6,0.123,0.236,0.166,0.186,0,0.332,0.311,0.227,1.0,High
app_00034,Finance,macOS,Google Play,Large Corporation,4.12,468376,2.34,39234,117,665,10,29,9,0.31,2517.36,11,0.946,0,0,0,0.587,0.033,0.913,0.248,0,0.166,0.034,0.311,0.828,High
app_00035,Entertainment,iOS,Enterprise,Individual,49.69,543485,1.05,38366,3121,83,11,26,11,0.423,10.18,7,0.717,0,0,7,0.898,0.205,0.191,0.037,0,0.565,0.066,0.776,0.915,High
app_00036,Productivity,Linux,Enterprise,Small Company,80.53,382015,2.92,11495,1702,643,19,14,2,0.143,0.73,14,0.669,1,1,1,0.867,0.408,0.552,0.254,0,0.506,0.595,0.339,1.0,High
app_00037,Finance,Windows,App Store,Unknown,23.87,347839,1.95,7980,2144,87,16,41,5,0.122,39.87,16,0.361,0,0,4,0.027,0.181,0.583,0.421,1,0.817,0.342,0.259,1.0,High
app_00038,Entertainment,Android,Enterprise,Large Corporation,74.87,378487,3.5,13231,1280,225,16,26,11,0.423,4.45,17,0.908,0,0,0,0.485,0.512,0.742,0.699,0,0.218,0.645,0.422,0.61,High
app_00039,Travel,Android,Google Play,Large Corporation,63.52,318377,4.66,26675,1380,40,9,29,5,0.172,58.07,10,0.398,0,0,7,0.251,0.633,0.494,0.573,0,0.404,0.771,0.422,0.453,Medium
app_00040,Productivity,iOS,Google Play,Small Company,29.12,192292,1.33,11565,1395,28,11,40,0,0.0,117.12,7,0.727,1,0,7,0.937,0.733,0.215,0.031,0,0.595,0.051,0.496,1.0,High
app_00041,Business,Android,Google Play,Open Source,53.9,688381,2.9,34898,2761,295,14,47,7,0.149,6.58,3,0.354,0,1,5,0.59,0.361,0.092,0.917,0,0.95,0.446,0.185,1.0,High
app_00042,Games,Linux,App Store,Small Company,58.24,202603,3.56,11354,1751,484,9,19,10,0.526,188.52,9,0.961,0,0,6,0.999,0.556,0.473,0.313,0,0.731,0.193,0.115,1.0,High
app_00043,Travel,Linux,App Store,Large Corporation,14.02,822594,4.45,25520,3043,401,12,18,14,0.778,901.91,13,0.354,0,0,6,0.404,0.572,0.804,0.538,0,0.738,0.52,0.427,0.699,High
app_00044,Entertainment,Linux,Third Party,Small Company,16.15,123718,4.48,37124,759,140,11,43,13,0.302,1087.59,17,0.581,0,0,7,0.272,0.398,0.092,0.336,0,0.732,0.003,0.467,1.0,High
